case	algorithm	collective	kill_rank	root_rank	result	run_dir
1	RING	allreduce	0	N/A	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/001_allreduce_kill0
2	RING	reducescatter	0	N/A	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/002_reducescatter_kill0
3	RING	allgather	0	N/A	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/003_allgather_kill0
4	RING	broadcast	0	1	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/004_broadcast_kill0_root1
5	RING	broadcast	0	2	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/005_broadcast_kill0_root2
6	RING	broadcast	0	3	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/006_broadcast_kill0_root3
7	RING	broadcast	0	4	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/007_broadcast_kill0_root4
8	RING	broadcast	0	5	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/008_broadcast_kill0_root5
9	RING	broadcast	0	6	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/009_broadcast_kill0_root6
10	RING	broadcast	0	7	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/010_broadcast_kill0_root7
11	RING	reduce	0	1	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/011_reduce_kill0_root1
12	RING	reduce	0	2	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/012_reduce_kill0_root2
13	RING	reduce	0	3	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/013_reduce_kill0_root3
14	RING	reduce	0	4	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/014_reduce_kill0_root4
15	RING	reduce	0	5	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/015_reduce_kill0_root5
16	RING	reduce	0	6	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/016_reduce_kill0_root6
17	RING	reduce	0	7	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/017_reduce_kill0_root7
18	RING	allreduce	5	N/A	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/018_allreduce_kill5
19	RING	reducescatter	5	N/A	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/019_reducescatter_kill5
20	RING	allgather	5	N/A	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/020_allgather_kill5
21	RING	broadcast	5	0	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/021_broadcast_kill5_root0
22	RING	broadcast	5	1	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/022_broadcast_kill5_root1
23	RING	broadcast	5	2	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/023_broadcast_kill5_root2
24	RING	broadcast	5	3	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/024_broadcast_kill5_root3
25	RING	broadcast	5	4	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/025_broadcast_kill5_root4
26	RING	broadcast	5	6	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/026_broadcast_kill5_root6
27	RING	broadcast	5	7	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/027_broadcast_kill5_root7
28	RING	reduce	5	0	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/028_reduce_kill5_root0
29	RING	reduce	5	1	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/029_reduce_kill5_root1
30	RING	reduce	5	2	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/030_reduce_kill5_root2
31	RING	reduce	5	3	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/031_reduce_kill5_root3
32	RING	reduce	5	4	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/032_reduce_kill5_root4
33	RING	reduce	5	6	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/033_reduce_kill5_root6
34	RING	reduce	5	7	PASS_FORCE_CLEANUP	/home/ubuntu/sdr/fccl/exp/survivor_collective_ring/runs/20260604T031120Z_ring_survivor_parent_native_collectives/034_reduce_kill5_root7
